tempo,mfccs_mean,mfccs_std,emotion
143.5546875,"[-19.183224   100.59971     -0.2708564   23.996162     7.2841516
  -2.5971668   -5.589456     0.23059309  -0.9159885    4.784914
   3.9483268    9.641391    -3.1922464 ]","[31.76932   18.56491   14.581995   8.903158   8.387465   6.7742944
  5.55596    5.9335914  5.232107   5.4070415  5.6055155  5.3878775
  4.9962945]",angry
95.703125,"[-156.43958    168.06573      8.553679    34.619568     2.0052636
   12.538025    -2.893151     5.5926075    3.2931144   10.36334
    2.4903333    7.6801367    3.5344152]","[42.078896  25.23222    8.889414   7.4395833  9.585247   5.729159
  5.958156   5.272243   4.7789545  5.387818   5.4961753  5.7789116
  5.9521294]",angry
184.5703125,"[-156.17703     109.70025      -1.2374771    24.642487     -2.9527144
    9.826903     -2.8820803     2.6397824     0.82083446   -0.78004783
    0.9422331     3.358749     -2.6867137 ]","[31.830221  21.688372  13.638861  10.529875  10.880456   6.5471425
  5.204039   5.90114    6.4352827  6.316536   5.8664927  5.7656765
  5.1382885]",angry
117.45383522727273,"[-91.832      120.68194     24.46997     16.109524    17.61921
   4.223537     2.5587537    5.10657      1.2145777    1.4228339
  -5.913241     0.34674096  -2.6524873 ]","[59.537064  28.325012  19.730276  12.2566805  6.984944   7.3782053
  4.6850533  5.259686   5.5165515  4.8414183  4.6164427  4.578253
  4.429941 ]",angry
89.10290948275862,"[-214.17404     112.99358     -13.45612      21.882061      0.36282697
    3.1870391    -2.6700923    -2.5265722    -9.683631     -0.3559373
   -2.3010793    -1.1354418   -10.547413  ]","[36.204224  21.852337  10.527468  10.531307   6.282832   7.6183925
  6.576852   5.1269584  5.491901   4.8162932  5.1289964  5.5604587
  5.230401 ]",angry
89.10290948275862,"[-150.95314    111.71863      6.4677267   39.313145     7.747906
   13.332279     9.106768    16.956        9.760526     6.5990024
    4.773084    16.323446     2.1144693]","[66.02479   23.253838  15.698145  12.052107   6.219635   6.097031
  7.393399   6.1123614  5.4047556  5.8652725  5.4280467  9.707212
  7.709239 ]",angry
123.046875,"[-205.96312    162.69843     20.211641    66.1105      29.923592
    2.2137892  -14.455385     2.8182468   17.094362    -1.8709097
    2.0503829   14.098488   -15.674795 ]","[55.36524   31.201883  21.330702  13.025413  11.718111  10.344581
  7.6399484  8.22348    8.404347   7.6764035  8.81537    7.4811764
  7.4711747]",angry
80.74951171875,"[-87.70954   125.76833    -0.5068763  40.140892    2.5308304  12.402728
   7.2946854  20.103659    5.168261   10.300827    5.2961698  12.793827
   8.214101 ]","[31.958866  17.473427   6.7806134  4.7548456  4.5395656  4.698481
  4.8320794  4.559385   4.4508553  5.8311176  5.4592147  5.4608846
  5.9915676]",angry
129.19921875,"[-4.7138611e+01  9.4924011e+01 -5.2770252e+00  1.5502651e+01
  2.0798946e-02  8.0850592e+00  3.7236884e+00  1.0536117e+01
 -1.1435109e+00  6.4067082e+00 -2.1848369e-01  4.4287233e+00
 -2.7221344e+00]","[35.7701    18.80139   13.66388    9.577175   8.549255   7.6510143
  6.205278   6.356306   5.901587   5.8573565  6.347118   5.7663126
  5.7060657]",angry
151.99908088235293,"[-2.2774010e+02  1.4183269e+02 -9.4237242e+00  4.8024082e+01
  1.2248891e+01  1.6221457e+01  1.6173201e+01  1.9839737e+01
  5.9258389e+00  7.1702104e+00 -6.9521265e+00 -1.1012920e+00
  3.9077453e-02]","[52.296818  23.96665   11.186569  10.220481   6.4430947  6.155039
  7.1027093  6.2134433  5.2869477  4.5935793  5.0987782  5.9965363
  4.8462086]",angry
184.5703125,"[-172.49411     137.2405        3.7887404    44.609467     12.476343
   14.06822       9.8005495     9.255934      8.309338      6.3121343
    3.5072045     2.820537     -0.48651308]","[128.25485    22.831879   42.230576   12.802101    9.641277    7.4567385
   5.2711387   7.864235    5.0996485   7.202211    5.6333632   4.8016205
   5.075067 ]",angry
89.10290948275862,"[-100.15998     147.75604     -39.384663     35.3441      -13.127517
    8.606305     -8.279563      5.2603564    -6.725321     -0.74797416
   -6.356276      2.0984452    -3.117993  ]","[47.15054   24.37974   12.827686  12.950716   9.842192   7.5174823
  6.5512004  6.3042483  7.8408294  6.017016   7.033137   7.038755
  6.734599 ]",angry
54.978390957446805,"[-218.64037     181.14413     -15.736083     32.194546     13.944139
   12.370442      2.904915     -2.0892017    -1.0373341    -0.42626274
   -4.554636     -5.2636395    -1.9938091 ]","[34.83156   16.749546   9.24896    7.2295456  6.180615   5.607744
  5.9232445  6.6284986  6.12317    5.7503743  5.234871   5.446184
  7.407444 ]",angry
